video_url,comentario,autor
https://www.youtube.com/watch?v=luTkEGY5ixM,“Nobody wants to work anymore” coming from a retired Boomer could trigger my fight or flight like an activation phrase for a sleeper agent.,@selunescorpio
https://www.youtube.com/watch?v=luTkEGY5ixM,Applying for jobs is humiliation ritual at this point,@wS21z.
https://www.youtube.com/watch?v=luTkEGY5ixM,Me after getting ghosted by 2000 companies:  “You guys are getting rejection emails?”,@ssg-u9b
https://www.youtube.com/watch?v=luTkEGY5ixM,"""Don't apply on indeed."" Okay but when I go to the Canadian Job Board and click a job to apply for, it gives me a button to take me to their indeed post. It's like a terrible groundhog day cycle, you'll never escape it.",@eclipsed-duo
https://www.youtube.com/watch?v=luTkEGY5ixM,“Gen Z is the least resilient generation.” Did this presumably millennial man forget they said the same thing about millennials a decade ago?,@redencarnacion
https://www.youtube.com/watch?v=luTkEGY5ixM,Ai rejecting my ai written resume is meta asf,@jaques5954
https://www.youtube.com/watch?v=luTkEGY5ixM,My friend got ghosted after completing her I-9. Literally hired but never given a start date.,@seaweed135
https://www.youtube.com/watch?v=luTkEGY5ixM,"I know that everyone is saying it will be fine and we can fix this, but it is TERRIFYING when you have nowhere to go and no family to rely on. If I don't find a second job on top of my job and my gigs, I'll be homeless. And honestly, I have it easier than other people in those regards, too. This is terrifying. People will die.",@liamfaoisidhe.
https://www.youtube.com/watch?v=luTkEGY5ixM,"“Do you have any experience working as ___” No, but i have experience doing this very similar thing at previous jobs “we cant hire you because you dont have enough experience”  AND ITS EVERY. SINGLE. JOB.  “you dont have enough experience working retail”  HOW AM I SUPPOSED TO GAIN EXPERIENCE WORKING IN RETAIL IF NOBODY WILL HIRE ME BECAUSE I DONT HAVE ENOUGH EXPERIENCE WORKING RETAIL?  LIKE WHAT😭",@princeXsora
https://www.youtube.com/watch?v=luTkEGY5ixM,I applied to a job in March 2020 and finally heard back in July 2021 lmao,@thatsadanarang
https://www.youtube.com/watch?v=luTkEGY5ixM,"you missed the big one. The cost of housing is completely out of control. It isn't even close to reality anymore how expensive a house costs and the people putting shit on the market are in denial, keeping their listings up for months instead of dropping the price.",@LFPAnimations
https://www.youtube.com/watch?v=luTkEGY5ixM,"Gen X here, when we started working they called us unprofessional and lazy, when millennials started working they called them unprofessional and lazy, now it’s Gen Z‘s turn to be called that. It’s tiresome. 🤨",@gabriellawaldi
https://www.youtube.com/watch?v=luTkEGY5ixM,"My 19 year old son has applied for hundreds of jobs over the past year. He was unable to find employment until this week. When he interviewed, the McDonalds (yep) manager said she has no clue wby he hadnt been hired yet, since McDs alone interviewed him a couple times before.  The job market for kids with no job history is insane. Not only that, the jobs theyre getting wont even be able to pay rent, much less other bills and life.  Im really worried about the future of our kids folks.",@nizran01
https://www.youtube.com/watch?v=luTkEGY5ixM,"Yup people are like maybe it’s you, when I said I have applied to over 1,000 jobs and never heard back or got like 5 rejections. Like people would say I applied wrong maybe or that I should redo my resume. Like it’s always it’s a YOU issue and not it’s a job market issue.",@diawolf8125
https://www.youtube.com/watch?v=luTkEGY5ixM,it's like a dead MMO where only ones left are veterans & they're not welcoming to newcomers,@ShawnFrosteisGoat
https://www.youtube.com/watch?v=luTkEGY5ixM,"""have a great day!"" ""...great day."" ""great day!"" ""great day?"" ""great day!!"" i am now having a very not great day.",@sarahshroom
https://www.youtube.com/watch?v=luTkEGY5ixM,we're not heading to a recession; WE ARE CURRENTLY IN ONE!! WERE IN IT!,@lasciviouspaine
https://www.youtube.com/watch?v=luTkEGY5ixM,"It’s not that Gen Z doesn’t want to work, it’s that Gen Z doesn’t want to slave away for literally nothing. Boomers used to throw away every little bit of dignity they had, but at least it was worth it for them. They knew they’d get a promotion, can afford a nice home, go on a vacation and sustain a family just by one person in the household having a decent job.  It all seems so pointless, why put in any effort if you know it won’t amount to anything of value?",@JeyJey88-9
https://www.youtube.com/watch?v=luTkEGY5ixM,"Great video. People in their 30s and 40s are struggling to find a job too, with some applying for entry level work making it even harder for gen Z to find a job. Makes me wonder if all the mid level stuff has been cut and now they just have entry level people do everything with no upward opportunities.",@JJJeeeffffff
https://www.youtube.com/watch?v=luTkEGY5ixM,"The one at 8:56 broke my heart a little bit, it looks like she dressed up and everything even though it was a phone interview so she made an extra effort and then to be met by a machine, “hi-…” poor kid 😢",@jessilovely
https://www.youtube.com/watch?v=luTkEGY5ixM,There are literally newspapers from like 100 years ago saying that. It’s so ridiculous. The truth is no one wants to hire or no one wants to train or no one wants to pay fairly.,@thedreammweaver6274
https://www.youtube.com/watch?v=luTkEGY5ixM,@thedreammweaver6274  of course there are. The generation before the boomers were lazy and all the generations after the boomers are lazy. They’re the only ones who work /j,@spaghettiboney
https://www.youtube.com/watch?v=luTkEGY5ixM,​​ @thedreammweaver6274 and thats mainly boomer/gen x fault! They dont take accountability for it too. They literally put robots OVER US AND LET ROBOTS TAKE OUR JOBS,@baycic
https://www.youtube.com/watch?v=luTkEGY5ixM,Retired boomers having ANY opinion about jobs rn make me feral,@tallsockclown
https://www.youtube.com/watch?v=luTkEGY5ixM,@tallsockclown  my parents are constantly going “Look at Indeed! There are so many jobs out there!!” Like bro 😟🔫,@buggs2026
https://www.youtube.com/watch?v=luTkEGY5ixM,I usually do not let things like that online get to me but this phrase in particular BOILS MY BLOOD bc we’re literally WORKING OUR ASSES OFF AND WE GET NOTHING IN RETURN,@burnedoutfilms
https://www.youtube.com/watch?v=luTkEGY5ixM,"I quit my job after being told I was getting a raise then it was retracted. They pushed all of the best people out to make it a ghost town of what it was. They don’t listen to any criticism, management are all passive aggressive and love to brag. When I quit they were in disbelief, even though they were told it would happen. This is the shit we all have to put up with and I’m a bartender. So I can’t imagine doing 4 years at University and dealing with this stuff 🤬",@freepancakessss
https://www.youtube.com/watch?v=luTkEGY5ixM,"I asked my boomer parents to look for a part time job (but not interview if they get called) just to see how hard it is, and tell me how it goes.   They’ve been quiet.",@MilkByCow
https://www.youtube.com/watch?v=luTkEGY5ixM,​​ @MilkByCow  I've gotta try this with my parents!!! But for a full time job. THIS!,@NonBinary_Star
https://www.youtube.com/watch?v=luTkEGY5ixM,"In my country, they got multiple thousands of dollars in the early 00s to buy a house. Just because. From the government. Now, if you want to study and don't have money, you'll have to basically strip naked to get a few hundred euros a month that can barely cover your rent. And then the boomers complain that the young people are costing way too much with their laziness. Like... Huh?????",@ami8181
https://www.youtube.com/watch?v=luTkEGY5ixM,Here’s the thing about boomers—half of them REFUSE to even retire in the first place!,@FatHedgie
https://www.youtube.com/watch?v=luTkEGY5ixM,"​ @FatHedgie  i feel like boomers were the first ones to come up with ageism in the workplace for this exact reason. Wisdom or no, they are occupying young people's positions",@drenuke235
https://www.youtube.com/watch?v=luTkEGY5ixM,"@FatHedgie Because (in the US at least) they got shafted too. They hold onto their jobs for dear life well past retirement because the SSA and even 401k and Medicare systems they've been convinced to buy into for their entire life were never all that they've been cracked up to be, and they're starting to realize that in order to survive with little functioning social support, they need to keep working. Of course that makes it harder for entry level folks to find work and receive appropriate training as a spillover effect. But try and resist the temptation to engage in generational blame (at most, only collective for not having the political will to push for a better system for everyone) and focus instead on efforts to make the system better not fixating on past failures.",@Darticus42
https://www.youtube.com/watch?v=luTkEGY5ixM,Most of what boomers say to me triggers my fight or flight,@dylan8banana
https://www.youtube.com/watch?v=luTkEGY5ixM,I hear so many people say this.,@vminhope3040
https://www.youtube.com/watch?v=luTkEGY5ixM,or worse. a boomer who refuses to retire and is taking up space due to tenure so they cant be fired :)),@duckiekay7347
https://www.youtube.com/watch?v=luTkEGY5ixM,"They complain about the children they didnt raise or prepare for the world, they also didnt pay attention to the world or country or anything and just had an easy care free life. ""why dont boomers love their kids?"" is a better question. Like we didnt decide to be born that was on you guys ""wanting"" families.",@andrewbehn3678
https://www.youtube.com/watch?v=luTkEGY5ixM,"Omg my mom says this shit all the time even though she isn’t even 40 yet 😭 HELPPPPP pls 😔 When I was on a job hunt for months, applying non-stop for work she would say that over and over and over. Legit drove me nuts.",@Bunnsterr
